paper_id,question_id,score_rate,context_familiarity,info_complexity,topic,concept_count,knowledge_depth,openness,modeling,reasoning,computation,question_type,notes,blind_idx
xicheng_2024,16-2,0.8,0,2,em,2,apply,closed,0,2,1,fill,U-I图·电动势+内阻,1
xicheng_2026,14,0.69,2,2,thermal,3,analyze,closed,1,3,0,mcq,声呐+光折射类比·情境题+波+图,2
gaokao_2025,19-1,0.8,0,1,mech,1,apply,closed,0,1,1,solve,飞机加速跑道·牵引功W(动能定理),3
gaokao_2022,19-3,0.4,2,1,thermal,2,analyze,closed,2,3,2,solve,流浪地球·新轨道周期T2/T1(温度+能量+开普勒),4
gaokao_2023,1,0.9,0,0,thermal,2,recall,closed,0,1,0,mcq,夜间轮胎气温·气体分子理论,5
xicheng_2026,11,0.62,2,1,cross,4,analyze,closed,1,3,1,mcq,加速度计·弹簧+电路·灵敏度分析(跨模块),6
xicheng_2026,16-3,0.67,0,1,mech,1,apply,closed,0,2,1,fill,"单摆g表达式·d,l,n,t",7
xicheng_2026,19-1,0.66,2,1,mech,2,apply,closed,1,2,1,solve,火箭一级箭体减速·空气阻力+反推力做功W,8
xicheng_2026,20-1b,0.39,2,1,cross,2,analyze,closed,2,4,2,solve,电子束冲击力F∝v^α·自主建模+α确定,9
xicheng_2024,19-2b,0.19,2,2,cross,2,analyze,closed,2,4,2,solve,离子密度nx-x·作图+意义+近似展开,10
gaokao_2025,15-1,0.85,0,1,cross,3,comprehend,closed,0,1,0,fill,实验操作·三选一多概念判断,11
xicheng_2026,20-2,0.28,2,1,cross,3,analyze,closed,2,4,2,solve,相对论质能+储存环B(t)关系推导,12
gaokao_2024,20-2,0.35,2,2,cross,3,analyze,closed,1,3,2,solve,径向磁感应强度B2·圆周运动(跨模块),13
gaokao_2023,18-1,0.94,1,1,em,2,apply,closed,0,1,0,solve,电磁撬第一级安培力F=BIL,14
xicheng_2024,20-2b,0.12,2,1,mech,3,analyze,closed,2,4,2,solve,30度推力·最近距离(角动量+能量),15
xicheng_2025,20-3,0.05,2,2,cross,4,analyze,closed,2,4,2,solve,横坐标表达式·斜率=e/m·(跨模块+函数构造),16
gaokao_2024,14,0.51,2,1,em,4,analyze,closed,0,3,0,mcq,电荷/电压/电流/磁通量·元件属性图·选错误,17
xicheng_2025,12,0.36,1,1,mech,4,analyze,closed,1,3,1,mcq,缓慢移动vs恒力·功能关系比较,18
gaokao_2025,8,0.95,1,2,cross,2,analyze,closed,1,2,0,mcq,小山坡等高线·力学+电场类比(跨模块),19
xicheng_2024,2,0.95,0,0,thermal,1,apply,closed,0,1,0,mcq,核反应质量电荷守恒,20
