paper_id,question_id,score_rate,context_familiarity,info_complexity,topic,concept_count,knowledge_depth,openness,modeling,reasoning,computation,question_type,notes
gaokao_2026,1,,0,1,in,1,recall,closed,0,1,0,mcq,筷子入水侧移·折射现象识别
gaokao_2026,2,,1,1,in,1,apply,closed,0,1,1,mcq,18F制备·核反应质量电荷守恒·PET情境
gaokao_2026,3,,0,1,in,2,apply,closed,0,2,0,mcq,理想气体等温膨胀·热一律
gaokao_2026,4,,0,1,in,2,apply,closed,1,2,1,mcq,汽车刹车距离·动能定理
gaokao_2026,5,,0,3,in,3,analyze,closed,1,3,1,mcq,简谐横波波形·λ+v+方向+加速度
gaokao_2026,6,,0,1,in,3,analyze,closed,1,3,0,mcq,斜面匀速下滑·冲量+合力+机械能
gaokao_2026,7,,0,2,in,3,analyze,closed,1,3,1,mcq,理想变压器+滑动变阻器·电流电压表变化
gaokao_2026,8,,0,1,in,3,analyze,closed,1,3,1,mcq,捷龙三号卫星·万有引力+圆周运动+第一宇宙速度
gaokao_2026,9,,0,2,in,3,analyze,closed,1,3,0,mcq,直流电源+电阻+平行板电容器·稳态电路
gaokao_2026,10,,1,3,in,4,analyze,closed,2,4,0,mcq,蹦极·弹性绳+失重+势能变化·多阶段
gaokao_2026,11,,1,1,in,2,apply,semi,1,2,0,mcq,平行直导线电流磁场实验·可探究性
gaokao_2026,12,,0,3,in,4,analyze,closed,2,4,1,mcq,磁铁穿过线圈·感应电流i-t图分析
gaokao_2026,13,,1,2,cross,3,analyze,closed,1,3,0,mcq,光电导效应vs光电效应·半导体+金属对比
gaokao_2026,14,,2,4,cross,2,analyze,closed,2,3,0,mcq,Hopfield神经网络·2024诺奖·能量类比
gaokao_2026,15-1,,0,2,in,2,apply,closed,0,1,0,fill,加速度力关系实验·m与M关系条件
gaokao_2026,15-2,,0,2,in,3,apply,closed,0,1,0,fill,实验操作判断·机械能守恒+气体+折射率
gaokao_2026,15-3,,0,2,in,2,analyze,closed,0,2,0,fill,电阻率测量·电路故障排除+误差分析
gaokao_2026,16-1,,0,1,in,2,apply,closed,0,1,0,fill,平抛实验·实验操作必要条件
gaokao_2026,16-2,,0,1,in,1,comprehend,semi,0,1,0,fill,平抛实验·同位置释放目的说明
gaokao_2026,16-3,,0,2,in,2,analyze,semi,1,2,0,fill,平抛实验·相等时间间隔选点方法
gaokao_2026,16-4,,1,2,in,3,analyze,closed,2,3,2,fill,平抛实验·从y/x-x直线求抛出点坐标
gaokao_2026,17-1,,0,2,in,2,apply,closed,1,2,1,solve,U型导轨电磁感应·初始电流大小方向
gaokao_2026,17-2,,0,2,in,2,apply,closed,1,2,1,solve,U型导轨·初始加速度
gaokao_2026,17-3,,0,2,in,3,analyze,closed,1,3,1,solve,U型导轨·v0减到0过程R产生热量
gaokao_2026,18-1a,,0,2,in,3,apply,closed,1,2,1,solve,摆最低点绳拉力F·圆周运动
gaokao_2026,18-1b,,1,2,in,3,analyze,closed,2,3,2,solve,摆简谐运动·一周期绳对球冲量I
gaokao_2026,18-2,,1,2,in,3,analyze,closed,2,4,2,solve,圆锥摆周期·与简谐周期比较大小
gaokao_2026,19-1,,1,3,cross,3,apply,closed,2,3,2,solve,二级质谱药物研发·一级质谱加速电压U1
gaokao_2026,19-2a,,2,3,cross,3,analyze,semi,2,4,2,solve,二级质谱·仅施加匀强磁场可行性推导
gaokao_2026,19-2b,,2,3,cross,3,analyze,semi,2,4,2,solve,二级质谱·仅施加电场可行性推导
gaokao_2026,20-1,,2,3,cross,3,analyze,closed,2,4,2,solve,中性粒子对心碰撞·原子核动能Ek
gaokao_2026,20-2a,,2,4,cross,3,analyze,closed,3,5,3,solve,米格达尔效应·电子最大能量Ee推导
gaokao_2026,20-2b,,2,4,cross,4,analyze,open,3,5,3,solve,米格达尔效应·暗物质探测优势数据分析(完全开放)
